t,q0,q1,q2,q3,q4,q5,do
5945.8189999999995,-6.515184511357575e-05,-1.5707705437001387,-1.5708117485046387,-1.5708204708495082,1.570814609527588,-4.178682436162262e-05,768
5945.822999999999,-7.7549611226857e-05,-1.5707867256463324,-1.5708110332489014,-1.5708643398680628,1.5707895755767822,-2.9865895406544496e-05,768
5945.826999999999,-3.6541615621388246e-05,-1.5708428821959437,-1.5708036422729492,-1.5709129772581996,1.5707979202270508,-1.794496645146637e-05,768
5945.831,-1.603761781865387e-05,-1.5707908433726807,-1.5708231925964355,-1.57077248514209,1.5708186626434326,-2.6051198140919496e-05,768
5945.835,-8.408223287403871e-06,-1.5708190403380335,-1.5707871913909912,-1.5708447895445765,1.5707900524139404,-5.547200338185121e-06,768
5945.839,-3.701845277959137e-05,-1.5708228550352992,-1.5708231925964355,-1.5708848438658656,1.5707581043243408,-4.560152162724762e-05,768
5945.843,-7.325807680302887e-05,-1.5708028278746546,-1.5708191394805908,-1.5708767376341761,1.5707900524139404,3.7828860513400286e-05,768
5945.847,-2.0329152242481996e-05,-1.5708071194090785,-1.5708515644073486,-1.5708729229369105,1.5708428621292114,6.198883056640625e-06,768
5945.851,-3.0199159795074593e-07,-1.5707908433726807,-1.570847511291504,-1.5708209476866664,1.5707616806030273,-4.941621889287262e-05,768
5945.855,0.0,-1.5707826247274461,-1.5708191394805908,-1.5708724460997523,1.570781946182251,-2.9865895406544496e-05,768
5945.8589999999995,-1.699129213506012e-05,-1.5707705437001387,-1.570807695388794,-1.570836683312887,1.5708388090133667,-9.838734762013246e-06,768
5945.862999999999,1.1920928955078125e-05,-1.570815225640768,-1.570783257484436,-1.5709086857237757,1.570781946182251,6.198883056640625e-06,768
5945.866999999999,-1.2699757711231996e-05,-1.5707664548229623,-1.5708595514297485,-1.5708562336363734,1.5707979202270508,-3.797212709599762e-05,768
5945.871,-3.701845277959137e-05,-1.570810934106344,-1.5708191394805908,-1.5708290539183558,1.5707497596740723,-4.941621889287262e-05,768
5945.875,-8.408223287403871e-06,-1.570778494959388,-1.5708271265029907,-1.5708924732603968,1.5707895755767822,-1.3653432027638246e-05,768
5945.879,-2.8912221090138246e-05,-1.570827146569723,-1.570807695388794,-1.5708238087096156,1.5708227157592773,-5.547200338185121e-06,768
5945.883,-5.704561342412262e-05,-1.5707949731398294,-1.570815086364746,-1.5708323917784632,1.570785641670227,-1.3653432027638246e-05,768
5945.887,-3.6541615621388246e-05,-1.5707626453698431,-1.5708396434783936,-1.5708886585631312,1.5708268880844116,-4.1309987203419496e-05,768
5945.891,-2.462068666631012e-05,-1.5708071194090785,-1.5707871913909912,-1.5708519421019496,1.5707658529281616,-5.547200338185121e-06,768
5945.8949999999995,-3.225008119756012e-05,-1.5708071194090785,-1.570839762687683,-1.5708610020079554,1.5707900524139404,-9.838734762013246e-06,768
5945.898999999999,-4.083315004521637e-05,-1.5708071194090785,-1.570807695388794,-1.5708447895445765,1.5707658529281616,-1.794496645146637e-05,768
5945.902999999999,-2.8912221090138246e-05,-1.5707746937262819,-1.5708396434783936,-1.5708886585631312,1.570757508277893,1.9073486328125e-06,768
5945.907,3.987216769019142e-05,-1.5707985363402308,-1.5708231925964355,-1.5708557567992152,1.570834755897522,-4.1309987203419496e-05,768
