t,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,ss,f0,f1,f2,f3,f4,f5,tsf,do
11497.270999999999,-0.364921141103582, -1.921711535680922, -1.5838434923118871, -1.077424744005806, 1.6377216811861643, 1.7857072166975514,-0.7418409508970834, 0.257371392195818, -0.477329184006376, 0.30942390219006966, -0.029551162989578675, 0.24284233087857343,1.0,-8731.72070899172, -2829.4386840483394, 21513.779326346146, -76.6271877022433, 220.70775329714996, 37.90743566366291,1.0,769
11497.278999999999,-0.36774730353244856, -1.9207390150782508, -1.5856499504581585, -1.076250554335533, 1.6376097978369089, 1.7866286892349958,-0.745784077897924, 0.25453357133355, -0.47353924272510833, 0.30864001140676045, -0.029340986608869673, 0.2421978647327752,1.0,-8731.184449254011, -2829.568512135568, 21513.67468783585, -76.63506836612416, 220.71368913044927, 37.918164849369134,1.0,769
11497.287,-0.3705790288779802, -1.9197805169911355, -1.5874360116737627, -1.075083230564144, 1.6374990858038467, 1.7875446655888467,-0.7497140566952322, 0.25166410874294454, -0.46971172947440776, 0.30784834429626806, -0.0291279520855997, 0.2415488772064645,1.0,-8731.530059521696, -2829.6068038101603, 21513.62843422296, -76.62382629548745, 220.71486950362498, 37.91977673086771,1.0,769
11497.295,-0.3734162819646425, -1.9188360508642583, -1.5892017012081832, -1.073922735521612, 1.637389546065946, 1.7884551821010966,-0.7536301282951808, 0.2487630415459928, -0.46584660257121036, 0.30704877992868745, -0.02891209127885387, 0.24089553645018932,1.0,-8730.973968549608, -2829.6203270497444, 21513.789614661717, -76.62996431439637, 220.73176111769322, 37.90792391931663,1.0,769
11497.303,-0.3762590270871309, -1.9179056261142193, -1.5909470438361693, -1.0727690325496866, 1.637281179470886, 1.7893602756309335,-0.7575315268679995, 0.24583041783491236, -0.4619438318030337, 0.3062411977304159, -0.028693437332545303, 0.24023801363223904,1.0,-8731.44274940146, -2830.458972449722, 21513.566579789527, -76.60176943648241, 220.70761515400363, 37.910234421414344,1.0,769
11497.311,-0.3791072280111836, -1.91698925211952, -1.5926720638680107, -1.071622085501689, 1.6371739867344264, 1.7902599835537867,-0.7614174800786214, 0.2428662968464996, -0.45800339865554457, 0.30542547756633665, -0.028472024682947676, 0.23957648292474223,1.0,-8732.141558969504, -2830.0402016911676, 21513.702329500542, -76.6087147102034, 220.6899980814215, 37.92147787952996,1.0,769
11497.319,-0.38196084797451135, -1.9160869382106647, -1.5943767851596418, -1.0704818587423617, 1.6370679684397949, 1.7911543437602644,-0.7652872094349876, 0.23987074912704295, -0.4540252965299234, 0.3046014998220347, -0.02824788906495314, 0.23891112148432259,1.0,-8731.410244313663, -2830.376666818158, 21514.09108465817, -76.59965145843788, 220.72719231876823, 37.91230478408235,1.0,769
11497.327,-0.38481984968783767, -1.9151986936603693, -1.5960612311225484, -1.0693483171477913, 1.636963125037094, 1.7920433946549814,-0.7691399306430502, 0.23684385669404506, -0.4500095309591137, 0.30376914548852374, -0.02802106751782107, 0.2382421094327929,1.0,-8731.568206015596, -2830.0878517371393, 21514.187048403997, -76.61122531770923, 220.71085751256635, 37.90758196220341,1.0,769
11497.335,-0.38768419533605325, -1.9143245276738963, -1.5977254247335075, -1.0682214261053886, 1.6368594568427262, 1.792927175155268,-0.7729748539827063, 0.2337857131861745, -0.445956119810656, 0.3029282962458081, -0.027791598388952617, 0.2375696298276963,1.0,-8731.469544223088, -2830.3584705084077, 21513.763247659677, -76.59684756790944, 220.70563461735975, 37.91876629455959,1.0,769
11497.342999999999,-0.39055384657948355, -1.9134644493794912, -1.5993693885441456, -1.0671011515139135, 1.636756964038838, 1.7938057246897714,-0.7767911846879065, 0.23069642400942622, -0.4418650934877593, 0.30207883454946616, -0.027559521337782354, 0.2368938686381395,1.0,-8730.579401232244, -2829.8317838452185, 21514.01113995192, -76.60754152448544, 220.7564636463744, 37.91559579467602,1.0,769
11497.350999999999,-0.393428764555277, -1.9126184678189428, -1.600993144690328, -1.065987459783571, 1.636655646672786, 1.7946790831969377,-0.7805881233426798, 0.22757610647520737, -0.4377364951219805, 0.3012206437166335, -0.027324877337408342, 0.23621501470841225,1.0,-8731.200042368311, -2829.447742945519, 21513.77762448458, -76.63288744850334, 220.71319896553155, 37.92339797194657,1.0,769
11497.359,-0.39630890987890677, -1.911786591938256, -1.6025967149013747, -1.0648803178361357, 1.6365555046566214, 1.7955472911233807,-0.7843648662892455, 0.22442488992733295, -0.43357038075465804, 0.3003536080132039, -0.02708770867599179, 0.23553325972472525,1.0,-8732.254307806683, -2828.824858275295, 21513.379233265965, -76.63880974826219, 220.68037378381456, 37.91285233154338,1.0,769
11497.367,-0.39919424264578485, -1.9109688305784385, -1.6041801205091142, -1.0637796931051327, 1.636456537766595, 1.7964103894221402,-0.7881206060470525, 0.22124291586312306, -0.42936681951278444, 0.2994776127410005, -0.026848058956219896, 0.2348487981726122,1.0,-8731.225231979315, -2829.822584252169, 21513.590887967242, -76.61429958079387, 220.72529362486932, 37.90616640570809,1.0,769
11497.375,-0.40208472243300175, -1.9101651924664136, -1.6057433824567688, -1.0626855535360598, 1.6363587456426842, 1.7972684195508124,-0.7918545317423434, 0.2180303380444068, -0.4251258937748944, 0.2985925443260506, -0.0266059730941514, 0.2341618272948466,1.0,-8730.615474811033, -2829.6272252603994, 21514.235284143277, -76.62441883188973, 220.76883458024878, 37.92090238121733,1.0,769
11497.383,-0.4049803083011758, -1.9093756862060358, -1.6072865213076852, -1.0615978675866415, 1.6362621277881406, 1.7981214234695773,-0.7955658295493798, 0.21478732259929417, -0.42084769932765276, 0.29769829040673024, -0.026361497316497798, 0.23347254704311166,1.0,-8731.434015921459, -2829.60025143633, 21513.865464772567, -76.63131264522684, 220.7083606721783, 37.92522046322716,1.0,769
11497.391,-0.4078809587964285, -1.9086003202692412, -1.6088095572539007, -1.0605166042271241, 1.6361666835690578, 1.7989694436390997,-0.7992536831393565, 0.21151404811636548, -0.41653234551502744, 0.29679473992278343, -0.026114679156978814, 0.23278116002813884,1.0,-8731.333567833599, -2830.578248133819, 21513.2805156495, -76.60849402397889, 220.7264276474022, 37.91191355291102,1.0,769
11497.399,-0.41078663195247067, -1.9078391029873014, -1.6103125101245563, -1.0594417329405985, 1.6360724122139627, 1.7998125230183188,-0.8029172741461384, 0.20821070572342176, -0.41217995537058233, 0.2958817832028109, -0.025865567450848163, 0.23208787146200552,1.0,-8731.291707403268, -2830.6995513802194, 21513.595560680144, -76.5925033720147, 220.71033528808636, 37.917879907377426,1.0,769
11497.407,-0.41369728529281513, -1.9070920425422084, -1.6117953993941594, -1.0583732237233487, 1.6359793128134283, 1.8006507050621148,-0.8065557826343238, 0.20487749916234113, -0.4077906657470216, 0.2949593120532406, -0.025614212328454913, 0.23139288909901898,1.0,-8731.838074477997, -2829.7171157279026, 21514.02189573693, -76.6116132274991, 220.69360744971624, 37.91910254652663,1.0,769
11497.414999999999,-0.4166128758331018, -1.90635914695818, -1.6132582441906909, -1.0573110470852374, 1.635887384319709, 1.8014840337188645,-0.8101683875786058, 0.20151464484994372, -0.4033646274309597, 0.29402721984702374, -0.025360665207880544, 0.2306964231755878,1.0,-8731.498449436654, -2829.983542431528, 21513.851641345405, -76.6176168062913, 220.71336377557088, 37.91483682041286,1.0,769
